date,symbol,price,source,volume,market_cap
2026-02-28,BITCOIN,65891.22,coingecko,37742232580.72011,1317542293327.2354
2026-03-01,BITCOIN,67017.08,coingecko,41709946431.8835,1340085381689.69
2026-03-02,BITCOIN,65824.42,coingecko,38811585997.47521,1316266670911.0593
2026-03-03,BITCOIN,68815.94,coingecko,54357544833.320946,1376116545555.9185
2026-03-04,BITCOIN,68287.46,coingecko,46018172072.016,1365575947099.492
2026-03-05,BITCOIN,72752.3,coingecko,73011893269.31757,1454892523976.9167
2026-03-06,BITCOIN,70868.22,coingecko,47524397870.037544,1417251399988.9395
2026-03-07,BITCOIN,68142.88,coingecko,39123856299.45234,1362780115876.562
2026-03-08,BITCOIN,67339.67,coingecko,21800679517.848392,1346745070785.4204
2026-03-09,BITCOIN,66042.75,coingecko,30233312686.233253,1320834944584.2002
2026-03-10,BITCOIN,68430.61,coingecko,43658034305.22108,1368620260015.3108
2026-03-11,BITCOIN,69849.2,coingecko,45913537650.7469,1397023116314.9353
2026-03-12,BITCOIN,70028.96,coingecko,384518713.1022658,1400647685843.0374
2026-03-13,BITCOIN,70417.19,coingecko,35693537178.30585,1408442180116.169
2026-03-14,BITCOIN,70838.93,coingecko,53200875874.63812,1416903889270.9753
2026-03-15,BITCOIN,71149.28,coingecko,20019694459.73024,1423139472519.362
2026-03-16,BITCOIN,72934.29,coingecko,24398877932.69607,1458870696938.544
2026-03-17,BITCOIN,74679.37,coingecko,46895173926.528305,1493807199550.5852
2026-03-18,BITCOIN,74004.69,coingecko,41402228682.37158,1480319012450.2678
2026-03-19,BITCOIN,71220.05,coingecko,39350060117.86037,1424617668656.0383
2026-03-20,BITCOIN,69936.2,coingecko,38065438932.54481,1398936802273.2832
2026-03-21,BITCOIN,70526.29,coingecko,32603143140.635445,1410740394689.4873
2026-03-22,BITCOIN,68424.08,coingecko,19470795501.026283,1368689752020.2637
2026-03-23,BITCOIN,67933.43,coingecko,25352216480.721107,1358875311053.488
2026-03-24,BITCOIN,70987.25,coingecko,46905271506.270256,1419961051288.5916
2026-03-25,BITCOIN,70528.86,coingecko,32603022085.42079,1410791888450.5967
2026-03-26,BITCOIN,71303.59,coingecko,31347153732.467434,1426288685822.9785
2026-03-27,BITCOIN,68727.21,coingecko,45867404479.40452,1374753382709.4006
2026-03-28,BITCOIN,66329.88,coingecko,43169558848.59394,1326825214972.8843
2026-03-29,BITCOIN,66388.84,coingecko,21059002641.18555,1328338671604.5044
2026-03-30,BITCOIN,65947.03,coingecko,22702400222.698208,1319528951993.3867
2026-03-31,BITCOIN,66691.27,coingecko,34064201546.291615,1334447058898.83
2026-04-01,BITCOIN,68107.47,coingecko,51983877859.265175,1362813266728.113
2026-04-02,BITCOIN,67959.88,coingecko,48409464466.14032,1362985792271.1128
2026-04-03,BITCOIN,66887.51,coingecko,48489330158.05017,1341478723293.2266
2026-04-04,BITCOIN,66822.55,coingecko,27881704293.27623,1340175935595.4512
2026-04-05,BITCOIN,67077.15,coingecko,18349404855.726543,1345282082641.0298
2026-04-06,BITCOIN,69002.04,coingecko,23859752469.910007,1383887150218.5754
2026-04-07,BITCOIN,68672.25,coingecko,46866527625.05277,1377272928532.069
2026-04-08,BITCOIN,71661.76,coingecko,59114621689.24899,1437229916180.8518
2026-04-09,BITCOIN,70644.79,coingecko,42187302136.25613,1416833835992.307
2026-04-10,BITCOIN,71367.8,coingecko,41307213904.3155,1431334313769.7168
2026-04-11,BITCOIN,72920.25,coingecko,32133663126.52619,1459433492592.4358
2026-04-12,BITCOIN,73021.86,coingecko,20344402241.871456,1461495718539.031
2026-04-13,BITCOIN,70660.64,coingecko,25034828600.5945,1414271995223.8486
2026-04-14,BITCOIN,74481.64,coingecko,46453393066.73657,1490782825115.7065
2026-04-15,BITCOIN,74297.35,coingecko,48364585958.60738,1487131028728.5823
2026-04-16,BITCOIN,74826.31,coingecko,30548536736.731777,1497750345420.939
2026-04-17,BITCOIN,75111.96,coingecko,37873936871.25348,1503501691790.5283
2026-04-18,BITCOIN,77125.73,coingecko,56342990648.43905,1543846478607.006
2026-04-19,BITCOIN,75716.15,coingecko,62821159706.721344,1515666221261.281
2026-04-20,BITCOIN,73841.02,coingecko,57237273536.28347,1478167516521.3162
2026-04-21,BITCOIN,75858.04,coingecko,38028896900.98471,1518576144441.9805
2026-04-22,BITCOIN,76326.19,coingecko,36823423505.230736,1527978534936.1682
2026-04-23,BITCOIN,78238.82,coingecko,43578270461.27342,1566300505390.8323
2026-04-24,BITCOIN,78275.33,coingecko,35972701648.49312,1567060751418.8237
2026-04-25,BITCOIN,77447.62,coingecko,30716822790.47169,1550525699949.4888
2026-04-26,BITCOIN,77634.52,coingecko,16174475761.220406,1554301467547.4663
2026-04-27,BITCOIN,78637.74,coingecko,20900479735.89463,1574424193250.3992
2026-04-28,BITCOIN,77366.78,coingecko,36623099926.89533,1549011607727.6
2026-04-29,BITCOIN,76331.86,coingecko,31323204486.623787,1528322543597.082
2026-04-30,BITCOIN,75784.96,coingecko,40874217836.06377,1517396428631.6455
2026-05-01,BITCOIN,76296.8,coingecko,30542237537.2747,1527677404068.2952
2026-05-02,BITCOIN,78207.76,coingecko,38346005217.71241,1565978464498.2485
2026-05-03,BITCOIN,78677.42,coingecko,17470305785.684418,1575399064359.2305
2026-05-04,BITCOIN,78512.09,coingecko,21039106932.465828,1572088532218.1125
2026-05-05,BITCOIN,79825.88,coingecko,52799152390.05931,1598395086667.69
2026-05-06,BITCOIN,80913.96,coingecko,39631525763.1694,1620321738625.5952
2026-05-07,BITCOIN,81436.86,coingecko,40136984275.35361,1630826287118.407
2026-05-08,BITCOIN,80024.91,coingecko,36710760520.09051,1602589764458.0776
2026-05-09,BITCOIN,80197.27,coingecko,33093795788.664837,1606077785283.5508
2026-05-10,BITCOIN,80677.65,coingecko,17383014966.83854,1615741619629.0364
2026-05-11,BITCOIN,82018.37,coingecko,19419025189.8614,1645004741191.1208
2026-05-12,BITCOIN,81627.57,coingecko,28389853562.446438,1637166543583.5588
2026-05-13,BITCOIN,80482.14,coingecko,30589600639.610733,1611939835949.311
2026-05-14,BITCOIN,79288.84,coingecko,32707131746.748478,1588073918775.3318
2026-05-15,BITCOIN,81059.12,coingecko,42298040589.51437,1623569996402.9607
2026-05-16,BITCOIN,79068.67,coingecko,36216900888.56351,1583735228276.758
2026-05-17,BITCOIN,78132.75,coingecko,23762381350.057053,1565026633721.2126
2026-05-18,BITCOIN,77428.52,coingecko,20316786825.924442,1550931401030.0012
2026-05-19,BITCOIN,76959.41,coingecko,42702548815.67563,1541593557490.7017
2026-05-20,BITCOIN,76758.73,coingecko,27147623318.02886,1537607115376.3884
2026-05-21,BITCOIN,77470.4,coingecko,26876818823.914783,1551898053923.3093
2026-05-22,BITCOIN,77550.38,coingecko,26822828450.39911,1553532857238.0518
2026-05-23,BITCOIN,75478.38,coingecko,28286947097.462727,1512062217726.077
2026-05-24,BITCOIN,76684.37,coingecko,30932098861.218105,1536256575896.3174
2026-05-25,BITCOIN,77016.07,coingecko,21763916479.84379,1542935472694.078
2026-05-26,BITCOIN,77258.4,coingecko,19879317349.277992,1547829534321.9758
2026-05-27,BITCOIN,75851.1,coingecko,21937550660.277542,1521310703337.921
2026-05-28,BITCOIN,74339.62,coingecko,34389389567.3329,1489416527418.8489
2026-05-29,BITCOIN,73651.64,coingecko,33586238604.416878,1477197114898.1526
2026-05-30,BITCOIN,73500.92,coingecko,38828038484.70212,1474174043264.2876
2026-05-31,BITCOIN,73820.3,coingecko,18374444051.152412,1479111074457.094
2026-06-01,BITCOIN,73598.67,coingecko,16617912637.659142,1474670238472.3772
2026-06-02,BITCOIN,71320.29,coingecko,48870728373.42597,1429084366219.4146
2026-06-03,BITCOIN,66727.26,coingecko,61786877126.25958,1337077983137.808
2026-06-04,BITCOIN,64046.61,coingecko,43649392701.85552,1283384941923.1694
2026-06-05,BITCOIN,63810.66,coingecko,60995145201.16938,1278676276214.779
2026-06-06,BITCOIN,60960.1,coingecko,45506430145.38753,1221584775490.4983
2026-06-07,BITCOIN,60855.25,coingecko,31010313650.452156,1219483734629.1333
2026-06-08,BITCOIN,63273.54,coingecko,33326211424.640003,1267943921370.2615
2026-06-09,BITCOIN,63069.15,coingecko,32495793038.066757,1263848139632.9338
2026-06-10,BITCOIN,61669.76,coingecko,35017939157.83543,1235805762898.2478
2026-06-11,BITCOIN,61480.14,coingecko,26327022779.7125,1232005963062.1147
2026-06-12,BITCOIN,63555.66,coingecko,28342001883.939762,1273749779296.1104
2026-06-13,BITCOIN,63532.28,coingecko,26198317555.20565,1273309909632.204
2026-06-14,BITCOIN,64408.81,coingecko,16875136749.718493,1290903457306.5925
2026-06-15,BITCOIN,65709.31,coingecko,21124197393.114784,1316997723207.2698
2026-06-16,BITCOIN,66292.5,coingecko,30758717645.22543,1328716312457.8525
2026-06-17,BITCOIN,65619.28,coingecko,25251031908.02844,1315255606491.9746
2026-06-18,BITCOIN,64444.55,coingecko,31384852552.080708,1291736519936.9531
2026-06-19,BITCOIN,62897.24,coingecko,30204028640.80352,1260755460004.2776
2026-06-20,BITCOIN,63489.81,coingecko,23645282131.211132,1272662339486.1091
2026-06-21,BITCOIN,64253.4,coingecko,18855396681.673313,1287998314407.3254
2026-06-22,BITCOIN,63255.49,coingecko,16915246357.834028,1268020785738.6846
2026-06-23,BITCOIN,63937.29,coingecko,27569840544.502632,1281722561349.0657
2026-06-24,BITCOIN,62662.29,coingecko,30689271786.405464,1256197234338.4941
2026-06-25,BITCOIN,60989.57,coingecko,43171393360.53368,1222695488973.654
2026-06-26,BITCOIN,59726.74,coingecko,41007492811.17548,1197409796612.7463
2026-06-27,BITCOIN,60022.33,coingecko,39614814581.667755,1203364318622.97
2026-06-28,BITCOIN,59953.44,coingecko,16056335655.741009,1202013480250.0635
2026-06-29,BITCOIN,59494.61,coingecko,17361816169.775818,1192836694280.2336
2026-06-30,BITCOIN,60152.36,coingecko,32075473636.027355,1206050822293.0742
2026-07-01,BITCOIN,58566.09,coingecko,32381442094.945057,1174271521060.0322
2026-07-02,BITCOIN,59967.69,coingecko,39101214529.08516,1202400598943.6472
2026-07-03,BITCOIN,61490.21,coingecko,40481809940.94352,1232955847657.318
2026-07-04,BITCOIN,62553.61,coingecko,26816869526.90458,1254308594105.5916
2026-07-05,BITCOIN,63088.41,coingecko,19151546833.425976,1265061539174.8157
2026-07-06,BITCOIN,63586.1,coingecko,18666512398.727943,1275068261445.5964
2026-07-07,BITCOIN,64001.24,coingecko,36365921502.667404,1283414917919.9055
2026-07-08,BITCOIN,63335.31,coingecko,31452448064.454205,1270088861350.0464
2026-07-09,BITCOIN,62247.13,coingecko,27882580909.181175,1248292438971.084
2026-07-10,BITCOIN,63192.88,coingecko,26707343178.318974,1267284402881.5332
2026-07-11,BITCOIN,64110.97,coingecko,27782860991.65925,1285721301995.1152
2026-07-12,BITCOIN,63791.35,coingecko,14235365169.719538,1279338966428.7214
2026-07-13,BITCOIN,63746.66,coingecko,19015013213.72812,1278471632284.2085
2026-07-14,BITCOIN,62278.96,coingecko,31361911542.918644,1249064515645.423
2026-07-15,BITCOIN,64983.52,coingecko,32016409409.06845,1303338246252.6511
2026-07-16,BITCOIN,64717.17,coingecko,28397592354.339935,1298025137560.8176
2026-07-17,BITCOIN,63792.29,coingecko,27825917044.490063,1279500217318.545
2026-07-18,BITCOIN,63904.95,coingecko,28871351366.178684,1281784159472.132
2026-07-19,BITCOIN,64795.7,coingecko,15451966881.20787,1299683566530.6624
2026-07-20,BITCOIN,64670.4,coingecko,16372745607.748148,1297204952087.9087
2026-07-21,BITCOIN,65184.92,coingecko,32520098295.98486,1307555290285.9756
2026-07-22,BITCOIN,66520.98,coingecko,30875118859.101532,1334382819959.6755
2026-07-23,BITCOIN,66077.06,coingecko,28939202566.320488,1325502184529.7004
2026-07-24,BITCOIN,65033.02,coingecko,25467017655.49889,1304584533794.3228
2026-07-25,BITCOIN,64099.0,coingecko,26959674488.776695,1285880251135.3728
2026-07-26,BITCOIN,64316.36,coingecko,14459472244.84863,1290267626178.7449
2026-07-27,BITCOIN,65310.39,coingecko,14672396643.288786,1310239348543.4233
2026-07-28,BITCOIN,63673.71,coingecko,25805685046.378044,1277432010626.5527
2026-07-29,BITCOIN,63957.04,coingecko,24575144136.146225,1283142171242.0308
2026-07-30,BITCOIN,63934.1,coingecko,28002713066.858093,1282708329624.6782
2026-07-31,BITCOIN,64776.94,coingecko,26365207307.479393,1299648275649.1667
2026-08-01,BITCOIN,62896.51,coingecko,29778777500.489014,1261952862387.9932
2026-08-02,BITCOIN,62802.63,coingecko,13831032855.493818,1260101264157.2688
2026-08-03,BITCOIN,63466.47,coingecko,15937183806.776842,1273449712535.446
2026-08-04,BITCOIN,63472.83,coingecko,25451832922.01436,1273606337766.7727
2026-08-05,BITCOIN,64039.41,coingecko,22989090893.8523,1285006144109.5203
2026-08-06,BITCOIN,64574.31,coingecko,23395298979.341087,1295767077969.0576
2026-08-07,BITCOIN,64289.46,coingecko,18516907386.71872,1290076717260.0498
2026-08-08,BITCOIN,64872.6,coingecko,21662714670.77757,1301810026226.8445
2026-08-09,BITCOIN,64916.01,coingecko,12371853387.29901,1302709015809.277
2026-08-10,BITCOIN,64860.52,coingecko,12944797303.156689,1301625157030.4944
2026-08-11,BITCOIN,63915.71,coingecko,20628873466.305775,1282693235981.1963
2026-08-12,BITCOIN,63537.56,coingecko,20095612608.80128,1275130714721.0269
2026-08-13,BITCOIN,63408.63,coingecko,22071166502.05402,1272571233715.507
2026-08-14,BITCOIN,63417.39,coingecko,18880823922.243763,1272775375393.0505
2026-08-15,BITCOIN,62996.4,coingecko,20041539781.636917,1264353827571.235
2026-08-16,BITCOIN,63017.07,coingecko,10381002955.020844,1264798098519.7686
2026-08-17,BITCOIN,62852.86,coingecko,9668707026.266994,1261532959792.2776
2026-08-18,BITCOIN,64455.38,coingecko,21662577408.95245,1293717325777.4556
2026-08-19,BITCOIN,64664.43,coingecko,18102727107.529858,1297913269498.7405
2026-08-20,BITCOIN,69418.44,coingecko,44185832285.30161,1393333427699.0405
2026-08-21,BITCOIN,73097.55,coingecko,54451086059.994026,1467178691741.7952
2026-08-22,BITCOIN,78424.62,coingecko,71386488850.20584,1574101264956.5986
2026-08-23,BITCOIN,77109.16,coingecko,36602175901.9199,1547697869380.5857
2026-08-24,BITCOIN,77677.99,coingecko,29673293587.69445,1559115242782.953
2026-08-25,BITCOIN,78940.29,coingecko,51346818296.05599,1584704662086.7356
2026-08-26,BITCOIN,78511.23,coingecko,42844457202.96398,1576126744181.299
