date,symbol,price,source,volume,market_cap
2026-02-28,ETHEREUM,1931.12,coingecko,19700104445.7421,233071113277.70514
2026-03-01,ETHEREUM,1966.72,coingecko,20985423314.735542,237368088451.83548
2026-03-02,ETHEREUM,1939.8,coingecko,21599432840.139435,234118271380.97858
2026-03-03,ETHEREUM,2028.8,coingecko,24070045894.571983,244860251697.49725
2026-03-04,ETHEREUM,1982.95,coingecko,21716084707.508087,239326733114.5177
2026-03-05,ETHEREUM,2127.58,coingecko,31454942233.916515,256782106158.73483
2026-03-06,ETHEREUM,2073.36,coingecko,20704070246.514977,250238063998.13748
2026-03-07,ETHEREUM,1979.08,coingecko,17880928376.383335,238859068440.4086
2026-03-08,ETHEREUM,1984.45,coingecko,1310770979.2352624,239507117386.64005
2026-03-09,ETHEREUM,1939.39,coingecko,15144191039.015755,234069173421.49823
2026-03-10,ETHEREUM,1992.98,coingecko,21509559006.41827,240537076146.7661
2026-03-11,ETHEREUM,2035.17,coingecko,20433496336.302525,245629288936.0344
2026-03-12,ETHEREUM,2051.93,coingecko,16955024688.993406,247652035655.06946
2026-03-13,ETHEREUM,2071.92,coingecko,18582310202.19868,250064089421.84503
2026-03-14,ETHEREUM,2090.07,coingecko,25561303913.200787,252254994382.1135
2026-03-15,ETHEREUM,2107.11,coingecko,1301666837.8119001,254311529453.15802
2026-03-16,ETHEREUM,2182.07,coingecko,14142774279.99913,263358513956.0199
2026-03-17,ETHEREUM,2343.53,coingecko,35446059567.200615,282845219015.19055
2026-03-18,ETHEREUM,2320.95,coingecko,23544760984.833347,280119875556.8624
2026-03-19,ETHEREUM,2203.13,coingecko,22377146282.21154,265900393517.91376
2026-03-20,ETHEREUM,2139.51,coingecko,20747989001.230663,258221821843.73438
2026-03-21,ETHEREUM,2146.58,coingecko,15655115807.2655,259074401685.337
2026-03-22,ETHEREUM,2066.16,coingecko,6737837915.836869,249368009906.10928
2026-03-23,ETHEREUM,2055.68,coingecko,13821408478.563215,248103824426.18518
2026-03-24,ETHEREUM,2152.47,coingecko,26141021835.50594,259785198462.48618
2026-03-25,ETHEREUM,2156.39,coingecko,15077078045.390007,260258554389.5669
2026-03-26,ETHEREUM,2172.42,coingecko,3783113507.931435,262192292183.59747
2026-03-27,ETHEREUM,2059.59,coingecko,16416256659.251913,248574966495.32648
2026-03-28,ETHEREUM,1991.55,coingecko,17892632129.20947,240363008723.19138
2026-03-29,ETHEREUM,2000.05,coingecko,3680967183.3661385,241389017276.30966
2026-03-30,ETHEREUM,1981.74,coingecko,3126443831.8927627,239179399783.70428
2026-03-31,ETHEREUM,2024.01,coingecko,16073332742.566395,244281249742.8913
2026-04-01,ETHEREUM,2095.42,coingecko,23416069529.556515,252878775956.88654
2026-04-02,ETHEREUM,2131.54,coingecko,21299358479.11906,257238202336.49893
2026-04-03,ETHEREUM,2052.34,coingecko,20672789354.697014,247679828435.08362
2026-04-04,ETHEREUM,2009.42,coingecko,2391874686.2539997,242500772185.19867
2026-04-05,ETHEREUM,2052.07,coingecko,8763342890.936821,247647525921.04834
2026-04-06,ETHEREUM,2066.2,coingecko,2977633843.3241262,249352708217.40182
2026-04-07,ETHEREUM,2100.81,coingecko,20057879920.68048,253529269098.853
