rank,symbol,name,price,market_cap,volume_24h,change_24h,change_7d,ath,source
1,BTC,Bitcoin,78121.0,1567906154017,29695187685,-1.45727,18.4,126080.0,coingecko
2,ETH,Ethereum,2452.38,295866966298,11711608910,-0.9044,24.3,4946.05,coingecko
3,USDT,Tether,1.0,183364644772,51785173783,0.00729,0.1,1.32,coingecko
4,BNB,BNB,697.26,92822836894,863642048,-0.20428,14.6,1369.99,coingecko
5,XRP,XRP,1.38,86425498952,3888524991,-6.35481,33.1,3.65,coingecko
6,USDC,USDC,1.0,73543838893,14958073665,0.0061,0.0,1.043,coingecko
7,SOL,Solana,95.95,55942287080,3035430545,-2.32997,18.8,293.31,coingecko
8,TRX,TRON,0.334534,31754132615,538375974,-2.00995,0.6,0.431288,coingecko
9,FIGR_HELOC,Figure Heloc,1.008,21869455933,416791207,-3.1947,0.5,1.061,coingecko
10,HYPE,Hyperliquid,80.14,17816764492,1178681237,-1.43541,34.7,83.53,coingecko
11,DOGE,Dogecoin,0.084312,13113828533,660698993,-5.37969,18.7,0.731578,coingecko
12,ZEC,Zcash,769.21,12988916106,1018036176,-4.66093,42.8,3191.93,coingecko
13,RAIN,Rain,0.01712608,12145591642,52170941,4.27514,33.4,0.01946402,coingecko
14,USDS,USDS,0.999693,9722615536,117187601,-0.01383,0.0,1.057,coingecko
15,LEO,LEO Token,9.25,8511836884,251211,-1.09845,0.9,10.61,coingecko
16,WBT,WhiteBIT Coin,72.16,8509106805,115084724,-1.35926,27.1,74.97,coingecko
17,LINK,Chainlink,11.21,8385565456,360873921,-2.74388,15.0,52.7,coingecko
18,XMR,Monero,431.77,8117540145,83754244,-2.65903,4.4,797.73,coingecko
19,ADA,Cardano,0.204019,7640894452,379996825,-5.26732,16.2,3.09,coingecko
20,XLM,Stellar,0.179001,6188565327,181372316,-6.06368,11.3,0.875563,coingecko
