نام فایل,ستون انتخابی,نوع محتوای تشخیص‌داده‌شده,مسیر تشخیص,درجه اطمینان,نوع محتوا فایل,توضیح
history_data/AED_history.json,date/open/high/low/close,قیمت روزانه OHLC,نام‌محور,بالا,قیمت روزانه,سری 2248 روزه از 1397/01/28 تا 1405/05/01؛ واحد تشخیص: ریال
history_data/AFN_history.json,date/open/high/low/close,قیمت روزانه OHLC,نام‌محور,بالا,قیمت روزانه,سری 2329 روزه از 1393/04/31 تا 1405/05/01؛ واحد تشخیص: نامشخص(احتمالاً تومان)
history_data/AMD_history.json,date/open/high/low/close,قیمت روزانه OHLC,نام‌محور,بالا,قیمت روزانه,سری 2025 روزه از 1393/04/31 تا 1405/05/01؛ واحد تشخیص: نامشخص(احتمالاً تومان)
history_data/AUD_history.json,date/open/high/low/close,قیمت روزانه OHLC,نام‌محور,بالا,قیمت روزانه,سری 3581 روزه از 1393/04/30 تا 1405/05/01؛ واحد تشخیص: ریال
history_data/AZN_history.json,date/open/high/low/close,قیمت روزانه OHLC,نام‌محور,بالا,قیمت روزانه,سری 2538 روزه از 1393/04/31 تا 1405/05/01؛ واحد تشخیص: ریال
history_data/BHD_history.json,date/open/high/low/close,قیمت روزانه OHLC,نام‌محور,بالا,قیمت روزانه,سری 2672 روزه از 1393/04/31 تا 1405/05/01؛ واحد تشخیص: ریال
history_data/CAD_history.json,date/open/high/low/close,قیمت روزانه OHLC,نام‌محور,بالا,قیمت روزانه,سری 3412 روزه از 1393/04/31 تا 1405/05/01؛ واحد تشخیص: ریال
history_data/CHF_history.json,date/open/high/low/close,قیمت روزانه OHLC,نام‌محور,بالا,قیمت روزانه,سری 3328 روزه از 1393/04/31 تا 1405/05/01؛ واحد تشخیص: ریال
history_data/CNY_history.json,date/open/high/low/close,قیمت روزانه OHLC,نام‌محور,بالا,قیمت روزانه,سری 2969 روزه از 1393/04/31 تا 1405/05/01؛ واحد تشخیص: ریال
history_data/EUR_history.json,date/open/high/low/close,قیمت روزانه OHLC,نام‌محور,بالا,قیمت روزانه,سری 4075 روزه از 1391/04/08 تا 1405/05/01؛ واحد تشخیص: ریال
history_data/GBP_history.json,date/open/high/low/close,قیمت روزانه OHLC,نام‌محور,بالا,قیمت روزانه,سری 3698 روزه از 1391/06/12 تا 1405/05/01؛ واحد تشخیص: ریال
history_data/GEL_history.json,date/open/high/low/close,قیمت روزانه OHLC,نام‌محور,بالا,قیمت روزانه,سری 2588 روزه از 1393/04/31 تا 1405/05/01؛ واحد تشخیص: ریال
history_data/INR_history.json,date/open/high/low/close,قیمت روزانه OHLC,نام‌محور,بالا,قیمت روزانه,سری 2506 روزه از 1393/04/31 تا 1405/05/01؛ واحد تشخیص: نامشخص(احتمالاً تومان)
history_data/IQD_history.json,date/open/high/low/close,قیمت روزانه OHLC,نام‌محور,بالا,قیمت روزانه,سری 2257 روزه از 1394/05/09 تا 1405/05/01؛ واحد تشخیص: نامشخص(احتمالاً تومان)
history_data/IR_COIN_1G_history.json,date/open/high/low/close,قیمت روزانه OHLC,نام‌محور,بالا,قیمت روزانه,سری 3181 روزه از 1392/05/01 تا 1405/05/01؛ واحد تشخیص: ریال
history_data/IR_COIN_BAHAR_history.json,date/open/high/low/close,قیمت روزانه OHLC,نام‌محور,بالا,قیمت روزانه,سری 4193 روزه از 1390/10/01 تا 1405/05/01؛ واحد تشخیص: ریال
history_data/IR_COIN_EMAMI_history.json,date/open/high/low/close,قیمت روزانه OHLC,نام‌محور,بالا,قیمت روزانه,سری 4830 روزه از 1389/01/15 تا 1405/05/01؛ واحد تشخیص: ریال
history_data/IR_COIN_HALF_history.json,date/open/high/low/close,قیمت روزانه OHLC,نام‌محور,بالا,قیمت روزانه,سری 4191 روزه از 1390/10/01 تا 1405/05/01؛ واحد تشخیص: ریال
history_data/IR_COIN_QUARTER_history.json,date/open/high/low/close,قیمت روزانه OHLC,نام‌محور,بالا,قیمت روزانه,سری 4113 روزه از 1390/10/01 تا 1405/05/01؛ واحد تشخیص: ریال
history_data/IR_GOLD_18K_history.json,date/open/high/low/close,قیمت روزانه OHLC,نام‌محور,بالا,قیمت روزانه,سری 3990 روزه از 1392/01/27 تا 1405/05/01؛ واحد تشخیص: ریال
history_data/IR_GOLD_24K_history.json,date/open/high/low/close,قیمت روزانه OHLC,نام‌محور,بالا,قیمت روزانه,سری 2733 روزه از 1393/02/13 تا 1405/05/01؛ واحد تشخیص: ریال
history_data/IR_GOLD_MELTED_history.json,date/open/high/low/close,قیمت روزانه OHLC,نام‌محور,بالا,قیمت روزانه,سری 2398 روزه از 1396/12/27 تا 1405/05/01؛ واحد تشخیص: ریال
history_data/IR_PCOIN_1-1G_history.json,date/open/high/low/close,قیمت روزانه OHLC,نام‌محور,بالا,قیمت روزانه,سری 955 روزه از 1398/12/13 تا 1405/05/01؛ واحد تشخیص: ریال
history_data/IR_PCOIN_1-2G_history.json,date/open/high/low/close,قیمت روزانه OHLC,نام‌محور,بالا,قیمت روزانه,سری 955 روزه از 1398/12/13 تا 1405/05/01؛ واحد تشخیص: ریال
history_data/IR_PCOIN_1-3G_history.json,date/open/high/low/close,قیمت روزانه OHLC,نام‌محور,بالا,قیمت روزانه,سری 954 روزه از 1398/12/13 تا 1405/05/01؛ واحد تشخیص: ریال
history_data/IR_PCOIN_1-4G_history.json,date/open/high/low/close,قیمت روزانه OHLC,نام‌محور,بالا,قیمت روزانه,سری 957 روزه از 1398/12/13 تا 1405/05/01؛ واحد تشخیص: ریال
history_data/IR_PCOIN_1-5G_history.json,date/open/high/low/close,قیمت روزانه OHLC,نام‌محور,بالا,قیمت روزانه,سری 960 روزه از 1398/12/13 تا 1405/05/01؛ واحد تشخیص: ریال
