symbol,name,isin,ins_code,market_type,group_code,sector_code
فولاد,فولاد مبارکه اصفهان,IRO1FOLD0001,43362635835198978,bours,27,2701
شپنا,پالایش نفت اصفهان,IRO1PNES0001,43362642108108749,bours,11,1101
وبملت,بانک ملت,IRO1BMLT0001,43362647978189524,bours,58,5801
فملی,ملی صنایع مس ایران,IRO1FMLI0001,43362636386439905,bours,27,2703
خودرو,ایران خودرو,IRO1IKCO0001,43362647977127562,bours,43,4301
کگل,گل گهر,IRO1KEGL0001,43362637033005409,bours,27,2702
پترول,پتروشیمی خلیج فارس,IRO1PTSL0001,43362640646847652,bours,30,3001
مس,صنایع پتروشیمی نفت,IRO1MPNA0001,43362641489344099,bours,4,4001
وغدیر,گسترش سرمایه گذاری امید,IRO1GDSR0001,43362642729417095,bours,58,5802
بانک,بانک تجارت,IRO1BTJR0001,43362646697711532,bours,58,5803
فخوز,فولاد خوزستان,IRO1FKHZ0001,43362635891258769,bours,27,2701
وتجارت,بانک تجارت,IRO1BTJR0001,43362646697711532,bours,58,5803
