symbol,name,isin,ins_code,market_type,group_code,sector_code,tick_size,lot_size,par_value
فولاد,فولاد مبارکه اصفهان,IRO1FOLD0001,43362635835198978,bours,27,2701,1,1,1000
فملی,ملی صنایع مس ایران,IRO1FMLI0001,43362636386439905,bours,27,2703,1,1,1000
کگل,گل گهر,IRO1KEGL0001,43362637033005409,bours,27,2702,1,1,1000
فخوز,فولاد خوزستان,IRO1FKHZ0001,43362635891258769,bours,27,2701,1,1,1000
ذوب,ذوب آهن اصفهان,IRO1ZOBM0001,43362639142850547,bours,27,2704,1,1,1000
اهرم,اهرم دارو,IRO1AHRM0001,43362639142850548,bours,27,2705,1,1,1000
شپنا,پالایش نفت اصفهان,IRO1PNES0001,43362642108108749,bours,11,1101,1,1,1000
شتران,پالایش نفت تهران,IRO1SHTR0001,43362642108108750,bours,11,1101,1,1,1000
شبندر,پالایش نفت بندرعباس,IRO1SHBN0001,43362642108108751,bours,11,1101,1,1,1000
پترول,پتروشیمی خلیج فارس,IRO1PTSL0001,43362640646847652,bours,30,3001,1,1,1000
مس,صنایع پتروشیمی نفت,IRO1MPNA0001,43362641489344099,bours,30,3002,1,1,1000
پارسان,پارسیان,IRO1PARS0001,43362640646847653,bours,30,3003,1,1,1000
شگویا,پتروشیمی شگویا,IRO1SHGU0001,43362640646847654,bours,30,3001,1,1,1000
جم,پتروشیمی جم,IRO1JAMR0001,43362640646847655,bours,30,3001,1,1,1000
خودرو,ایران خودرو,IRO1IKCO0001,43362647977127562,bours,43,4301,1,1,1000
خساپا,سایپا,IRO1KHSH0001,43362647977127563,bours,43,4301,1,1,1000
خگستر,گسترش صنایع خودرو,IRO1KHOD0001,43362647977127564,bours,43,4302,1,1,1000
وبملت,بانک ملت,IRO1BMLT0001,43362647978189524,bours,58,5801,1,1,1000
وتجارت,بانک تجارت,IRO1BTJR0001,43362646697711532,bours,58,5803,1,1,1000
وبصادر,بانک صادرات,IRO1BSDR0001,43362646697711533,bours,58,5803,1,1,1000
وپاسار,بانک پاسارگاد,IRO1BPSR0001,43362646697711534,bours,58,5801,1,1,1000
وتوصا,توصا,IRO1TOPS0001,43362646697711535,bours,58,5802,1,1,1000
وغدیر,گسترش سرمایه گذاری امید,IRO1GDSR0001,43362642729417095,bours,58,5802,1,1,1000
شستا,سرمایه گذاری تامین اجتماعی,IRO1SHST0001,43362642729417096,bours,58,5802,1,1,1000
رمپنا,رنا,IRO1RANA0001,43362643308329060,bours,43,4303,1,1,1000
اخابر,مخابرات ایران,IRO1MKHB0001,43362644503940821,bours,53,5301,1,1,1000
همراه,همراه اول,IRO1HAMR0001,43362644503940822,bours,53,5301,1,1,1000
شبکه,شبکه امن,IRO1SHBK0001,43362644503940823,bours,53,5302,1,1,1000
کچاد,صنایع شیمیایی ایران,IRO1KCHA0001,43362636386439906,bours,27,2706,1,1,1000
تاپیکو,سرمایه گذاری نفت و گاز,IRO1TAPI0001,43362640646847656,bours,30,3004,1,1,1000
