نام_فایل,ستون_انتخابی,نوع_محتوای_تشخیص_داده_شده,مسیر_تشخیص,درجه_اطمینان,نوع_محتوا_فایل,توضیح
candlesticks (نوع ۳ - تعدیل‌شده),gregorian_date,date,نام‌محور,بالا,قیمت روزانه,سری روزانه تعدیل‌شده
candlesticks (نوع ۳ - تعدیل‌شده),close,close,نام‌محور,بالا,قیمت روزانه,سری روزانه تعدیل‌شده
candlesticks (نوع ۳ - تعدیل‌شده),open,open,نام‌محور,بالا,قیمت روزانه,سری روزانه تعدیل‌شده
candlesticks (نوع ۳ - تعدیل‌شده),high,high,نام‌محور,بالا,قیمت روزانه,سری روزانه تعدیل‌شده
candlesticks (نوع ۳ - تعدیل‌شده),low,low,نام‌محور,بالا,قیمت روزانه,سری روزانه تعدیل‌شده
candlesticks (نوع ۳ - تعدیل‌شده),volume,volume,نام‌محور,بالا,قیمت روزانه,سری روزانه تعدیل‌شده
candlesticks (نوع ۳ - تعدیل‌شده),symbol,symbol,نام‌محور,بالا,قیمت روزانه,سری روزانه تعدیل‌شده
candlesticks (نوع ۲ - اسمی),gregorian_date,date,نام‌محور,بالا,قیمت روزانه,سری روزانه اسمی
candlesticks (نوع ۲ - اسمی),close,close,نام‌محور,بالا,قیمت روزانه,سری روزانه اسمی
candlesticks (نوع ۲ - اسمی),open,open,نام‌محور,بالا,قیمت روزانه,سری روزانه اسمی
candlesticks (نوع ۲ - اسمی),high,high,نام‌محور,بالا,قیمت روزانه,سری روزانه اسمی
candlesticks (نوع ۲ - اسمی),low,low,نام‌محور,بالا,قیمت روزانه,سری روزانه اسمی
candlesticks (نوع ۲ - اسمی),volume,volume,نام‌محور,بالا,قیمت روزانه,سری روزانه اسمی
candlesticks (نوع ۲ - اسمی),symbol,symbol,نام‌محور,بالا,قیمت روزانه,سری روزانه اسمی
quotes,gregorian_date,date,نام‌محور,بالا,قیمت روزانه/درون‌روز,اسنپ‌شات‌های روزانه اخیر
